timestamp,alpha,beta,theta,gamma,attention,scroll_speed,label
0,17.965429868602328,6.834347898661638,9.118764001091076,3.790550473839461,33.37498258560773,0.09997491581800289,2
1,18.66176145774935,11.011150117432088,8.832290311184181,2.0617534828874073,49.097295564859834,0.8324426408004217,2
2,5.003893829205071,34.88317338936827,6.469926038510867,8.058265802441404,70.21198915659153,3.0691872751242473,1
3,16.118528947223794,6.394938606520419,7.168578594140873,3.099085529881075,33.68209952651108,0.7851759613930136,2
4,13.824619912671627,14.832308858067883,7.86705157299192,4.579821220208961,40.40922615763339,0.450499251969543,2
5,9.744427686266667,34.484480496118394,7.233589392465845,6.523068845866853,72.93016342019152,5.05269907953647,1
6,16.83263518825458,11.099966577826208,9.332779646944658,2.520093960523316,31.731818227197223,0.18223608778806233,2
7,9.870266456536466,20.200680211778106,7.186841117373119,4.739417822102109,89.08753883293676,0.7751328233611146,3
8,6.975751180009072,33.89988298690692,6.9090879834256835,6.632703844029177,87.11331923216198,4.562502780077471,1
9,6.626651653816322,25.83015934534223,5.085396127095583,9.143687545759647,80.70259980080768,3.8428035290621425,1
10,9.65599509213526,17.962735057040824,5.6610677562520095,4.062545626964775,72.70204442119109,0.3948815181755697,3
11,8.033132702741614,23.15461428454834,7.8274293753904685,6.916028672163949,83.13811040057837,0.07404465173409036,3
12,16.510770255019445,14.149596755437807,9.400154311159197,3.34835202241461,22.86230349471234,0.37081825219826636,2
13,6.625916610133736,30.944092675070962,6.550229885420853,9.436063712881634,84.16644775485848,3.358782737814905,1
14,9.24456912133042,30.8259428174731,4.943939678995823,6.28034161380662,71.21300768615293,5.131988669057362,1
15,5.127095633720476,21.618371404899566,4.125716742746937,8.182052056318902,79.43067943228979,4.525712073494108,1
16,5.696657272029379,29.066260689167258,6.1593643652066925,6.015306123673847,98.28560711673943,4.796596399465608,1
17,11.612212872540045,14.29697652342573,9.232481518257668,3.9002112695312703,46.143817705631534,0.8036720768991145,2
18,10.499059687222196,23.83280258918868,6.297380084021096,4.488351818802693,70.68893514230925,0.906828441545754,3
19,8.911740650167767,13.41686230901005,7.45404429776748,5.582191749769031,40.20856391593572,2.0214946051551315,0
20,9.939319885435932,15.539488263122163,5.808237001395565,3.7323765667433224,45.04873126518792,1.4375284391461405,0
21,12.218113753371068,18.63629602379294,8.887128330883844,7.849789179768445,67.55346887476092,0.49724850589238545,3
22,8.5923477198136,17.981923880391534,5.800343042825855,5.929844867497959,52.33111039954694,1.0661014658010968,0
